name,movie
Thomas McGinty,"Angry Samoans,Echoes,The Lord of the Rings: The Fellowship of the Ring"
Gino Acevedo,"Game of Thrones,War for the Planet of the Apes,Pete's Dragon,The BFG,The Jungle Book,The Hobbit: The Battle of the Five Armies,Dawn of the Planet of the Apes,The Hobbit: The Desolation of Smaug,Man of Steel,Iron Man 3,The Hobbit: An Unexpected Journey,Prometheus,Rise of the Planet of the Apes,Avatar,The Water Horse,The Lord of the Rings: The Return of the King,Sleepstalker,Mortal Engines,The Lovely Bones,Daybreakers,Eel Girl,30 Days of Night,King Kong,Supernova,Wishmaster,New Nightmare,The Bold and the Beautiful,The Water Horse,Black Sheep,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Godzilla,Men in Black,Independence Day,Species,Fluke,Wolf,A Nightmare on Elm Street 5: The Dream Child,Independence Day,The Yearling,Death Becomes Her,Alien 3,The Cure,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Fellowship of the Ring,The Frankenstein Files: How Hollywood Made a Monster,Battlefield Earth,Food of the Gods II,Eel Girl,Film Collectibles: Capturing Movie Memories,Making Apes: The Artists Who Changed Film,Dawn of the Planet of the Apes: Weta and Dawn,Rencontres de cinéma,Janela Indiscreta,Recreating the Eighth Wonder: The Making of 'King Kong',Skull Island: A Natural History,Cameras in Middle-Earth,Weta Workshop,Film Collectibles: Capturing Movie Memories,Cameras in Middle-Earth,The Taming of Sméagol,Weta Workshop,Weta Workshop"
Kate O'Rourke,"Passion in Paradise,Wound,Legend of the Seeker,30 Days of Night,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,The Lord of the Rings: The Fellowship of the Ring,Forsaken,Armorines: Project S.W.A.R.M."
Norman Forsey,"Shirley and the Hungary Bear,Mactaggert - New Zealands Only Dog Detective,The Poor Man,Preferably Blue,Ella,Maddigan's Quest,Kidnapped,Mataku,The Other Side of Heaven,The Lord of the Rings: The Fellowship of the Ring,Xena: Warrior Princess,Jack of All Trades,Greenstone,Hercules: The Legendary Journeys,Memory & Desire,Aberration,High Tide,I'm So Lonesome I Could Cry,Chunuk Bair,Anagram,The New Adventures of Black Beauty,Chill Factor,Betty's Bunch,Brotherhood of the Rose,Starlight Hotel,Adventurer,Counter Measures,Lie of the Land,Sylvia,Pallet on the Floor,Welcome to Paradise,Strata,Klynham Summer,Under the Mountain,Beyond Reasonable Doubt,Gather Your Dreams,Hunter's Gold,The Park Terrace Murder,Hell's Belles,Chunuk Bair,Anagram,Angel in Green,Lie of the Land,Merry Christmas Mr. Lawrence,Hell's Belles"
William Johnson,"Forget Me Not,Nothing Trivial,This Is Not My Life,Under the Mountain,Go Girls,Legend of the Seeker,Show of Hands,The Water Horse,Outrageous Fortune,Power Rangers Mystic Force,King Kong,The Girl Next Door,High Roller: The Stu Ungar Story,Mercy Peak,The Lord of the Rings: The Fellowship of the Ring,Renegade Force,Hercules: The Legendary Journeys,Xena: Warrior Princess,The Tommyknockers,Rose Against the Odds,The End of the Golden Weather,Fat Monroe,Shark in the Park,Brotherhood of the Rose,Erebus: The Aftermath,The Grasscutter,Born to Race,The Petrov Affair,The Adventures of Terry Teo,Welcome to Paradise,Savage Islands,Women of the Sun,Under the Mountain,Beyond Reasonable Doubt,Mortimer's Patch,Children of Fire Mountain,Gather Your Dreams,Skin Deep,Radio Waves,The Governor,Vintage Murder,Sleeping Dogs,Moynihan,The Park Terrace Murder,A Going Concern,The Other Side of the Mountain,Matlock Police,Angelica: The Young Vixen,Section 7,Pukemanu,The City of No,The Alpha Plan,Runaway Killer,Making 'Under the Mountain',Coming Home"
Robert Young,"Shadow in the Cloud,Mortal Engines,Crouching Tiger, Hidden Dragon: Sword of Destiny,Mad Max: Fury Road,The Hobbit: The Battle of the Five Armies,The Hobbit: The Desolation of Smaug,Spartacus,Zero Dark Thirty,Ghost Rider: Spirit of Vengeance,Yogi Bear,Green Zone,Avatar,The Hurt Locker,The Water Horse,30 Days of Night,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,King Kong,River Queen,Hidden,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,The Lost World,The Lord of the Rings: The Fellowship of the Ring,Dive,Zero Dark Thirty,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Out of the Blue"
Josh Widdicombe,"Hypothetical,Josh,Josh Widdicombe: What Do I Do Now,BBC Comedy Feeds,Josh Widdicombe Live: And Another Thing...,Stand Up for the Week,Hypothetical,Josh,BBC Comedy Feeds,The Lord of the Rings: The Fellowship of the Ring,Michael McIntyre's Comedy Roadshow,The Last Leg,Who Do You Think You Are?,Blankety Blank,Brydon &,A League of Their Own,Rhod Gilbert's Growing Pains,There's Something About Movies,Celebrity Catchphrase,Have I Got News for You,Dating No Filter,Hypothetical,Lorraine,Mel Giedroyc: Unforgivable,Taskmaster: The Podcast,Would I Lie to You?,Paul Sinha's TV Showdown,More Than Mostly Comedy Podcast,QI,Big Zuu's Big Eats,The One Show,Home Alone with Joel Dommett,Steph's Packed Lunch,The Russell Howard Hour,Blockbusters,Jon Richardson: Ultimate Worrier,Harry Hill's Alien Fun Capsule,Good Morning Britain,8 Out of 10 Cats,Comedians Watching Football with Friends,Insert Name Here,Innuendo Bingo,A League of Their Own: European Road Trip,The Graham Norton Show,12 Days of Jessmas,I'll Get This,Victoria Derbyshire,Richard Osman's House of Games,Rob Beckett's Playing for Time,Go 8 Bit,Room 101,8 Out of 10 Cats Does Countdown,A Question of Sport,Taskmaster,The Great British Bake Off: An Extra Slice,Alan Carr's 12 Stars of Christmas,Josh Widdicombe: What Do I Do Now,Peston on Sunday,Live at the Apollo,The Crystal Maze,Duck Quacks Don't Echo,Mock the Week,British Sitcom: 60 Years of Laughing at Ourselves,Very British Problems,Michael McIntyre's Big Show,Fighting Talk Goes Snooker Loopy,Alan Davies: As Yet Untitled,Countryfile,The Football's On,Frank Skinner on Demand with...,This Week,TFI Friday,The 15 Second Interview with Joe Lycett,Alternative Election Night,Alan Carr: Chatty Man,World Championship Snooker,Jack Dee's Election Helpdesk,Richard Herring's Leicester Square Theatre Podcast,The Apprentice: You're Fired!,Pointless Celebrities,Celebrity Fifteen to One,24 Hours to Go Broke,Dara O Briain: School of Hard Sums,Mastermind,Twit of the Year,Stand Up for the Week,Sunday Side Up,Was It Something I Said?,Josh Widdicombe Live: And Another Thing...,Sunday Brunch,Don't Sit In The Front Row,Genetically Enhanced Sharks and Other Silly Science,Science Club,Never Mind the Buzzcocks,Comedy World Cup,Edinburgh Comedy Fest Live,Channel 4's 30 Greatest Comedy Shows,A Short History of Everything Else,How to Be England Manager,The Mad Bad Ad Show,Show & Tell,Three at the Fringe,The Rob Brydon Show,24 Hour Panel People,Stand Up Hero,Mark Watson Kicks Off,What's Up TV,Would I Lie to You?,QI,Have I Got News for You,Taskmaster,The Graham Norton Show,Mock the Week"
Lori Dungey,"Power Rangers Beast Morphers,Power Rangers Ninja Steel,Power Rangers Dino Charge,Power Rangers R.P.M.,Therapy Session,The Amazing Extraordinary Friends,Power Rangers Operation Overdrive,Power Rangers Mystic Force,Power Rangers S.P.D.,Power Rangers DinoThunder,Power Rangers Ninja Storm,Lucy,Mercy Peak,Superfire,The Lord of the Rings: The Fellowship of the Ring,Young Hercules,Hercules: The Legendary Journeys,Clown Story,Xena: Warrior Princess,Personality Software,Danger Bay,The New Adventures of Beans Baxter,Rainbow War,Flatmates,Mrs Bracegirdle's Woodlyn Park Adventure,Baby Blues,RingCon 2010,RingCon 2009,Mrs Bracegirdle's Woodlyn Park Adventure"
John Turner,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,Fracture,The Lord of the Rings: The Two Towers,The Lost World,The Lord of the Rings: The Fellowship of the Ring"
James Waterhouse-Brown,"The Hobbit: The Battle of the Five Armies,The Hobbit: The Desolation of Smaug,The Hobbit: An Unexpected Journey,Underworld: Rise of the Lycans,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,The Lord of the Rings: The Return of the King,Echoes,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Trolley Boy,The Hobbit: The Desolation of Smaug,The Hobbit: An Unexpected Journey,Echoes,The Lord of the Rings: The Fellowship of the Ring"
Tim Wong,"Furiosa,Don't Make Me Go,Interceptor,Muru,Blacklight,Three Thousand Years of Longing,Fengshen Trilogy,Soulmate,Shang-Chi and the Legend of the Ten Rings,The Suicide Squad,Blind Bitter Happiness Pilot,Creamerie,Shadow in the Cloud,The Legend of Baron To'a,Fantasy Island,X-Men: Dark Phoenix,Triple Frontier,The Meg,Ash vs Evil Dead,Ghost in the Shell,Skinford,Do No Harm,Hacksaw Ridge,Pete's Dragon,Gods of Egypt,Crouching Tiger, Hidden Dragon: Sword of Destiny,Mad Max: Fury Road,Cub,The Hobbit: The Battle of the Five Armies,Outcast,Realiti,The Hobbit: The Desolation of Smaug,Power Rangers Megaforce,Beyond the Edge,The Hobbit: An Unexpected Journey,The Adventures of Tintin,Tangiwai,My Wedding and Other Secrets,Spartacus: Gods of the Arena,Yogi Bear,The Warrior's Way,Avalon High,Tracker,This Is Not My Life,Russian Snark,Spartacus,Zero,Under the Mountain,Legend of the Seeker,Underworld: Rise of the Lycans,A Thousand Apologies,Rain of the Children,The Chronicles of Narnia: Prince Caspian,Crossing the Line,The Killian Curse,The Water Horse,30 Days of Night,Power Rangers Operation Overdrive,The Lost Children,Out of the Blue,Black Sheep,X-Men: The Last Stand,The Godfather,Naming Number Two,King Kong,River Queen,Hidden,Rest Stop,The Lord of the Rings: The Third Age,Without a Paddle,The Gateway to Hell,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,Power Rangers Ninja Storm,Riverworld,The Extreme Team,The Lord of the Rings: The Two Towers,Xena: Warrior Princess - A Friend in Need (The Director's Cut),The Lost World,The Lord of the Rings: The Fellowship of the Ring,Trolley Boy,Interceptor,Fantasy Island,The Meg,Do No Harm,Pete's Dragon,Crouching Tiger, Hidden Dragon: Sword of Destiny,Realiti,Shortland Street,Black Sheep,King Kong,Spooked,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Trolley Boy,Do No Harm,Making 'Under the Mountain',The Making of 'Hidden'"
Jo Surgison,"Shortland Street,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring"
Mike Stearne,"The Lord of the Rings: The Fellowship of the Ring,DNZ: The Real Middle Earth"
Skeleton,"Strange Experiences: Caught on Film,Killer Spacemen from Outer Planet X,Playmobil: The Secret of Pirate Island,Dark and Stormy Night,The Incredibles,Scooby-Doo 2: Monsters Unleashed,Spy Kids 2: Island of Lost Dreams,The Lord of the Rings: The Fellowship of the Ring,The Lost Skeleton of Cadavra,Shrek,Xena: Warrior Princess,Mars Attacks!,Piranha,Home Alone 2: Lost in New York,Ewoks: The Battle for Endor,The Goonies,Ghostbusters,Indiana Jones and the Temple of Doom,The Last Unicorn,Poltergeist,House,Live and Let Die,2001: A Space Odyssey,My Favorite Martian,House on Haunted Hill,Bigfoot's Bride,Jason and the Argonauts"
Samuel E. Shore,"The Sounds,Mystic,Ripple,Filthy Rich,Common Ground,Dirty Laundry,The Engagement Party,Cat,Stabil-ise,The Library,Shortland Street,Skater Boy,Go Girls,Flat3,Filthy Rich,The Engagement Party,Common Ground,Go Girls,This Town,upside down,Filthy Rich,Go Girls,Spartacus,The Last Great Snail Chase,King Kong,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,The Tribe,Common Ground"
Andrew Stehlin,"The Legend of Baron To'a,The Dead Lands,X-Men: Dark Phoenix,The Shannara Chronicles,Waiting,Pirates of the Caribbean: Dead Men Tell No Tales,Ghost in the Shell,Hacksaw Ridge,Crouching Tiger, Hidden Dragon: Sword of Destiny,The Hobbit: The Battle of the Five Armies,The Dead Lands,The Last Saint,The Dark Horse,Auckland Daze,The Hobbit: The Desolation of Smaug,Spartacus,Spartacus: Gods of the Arena,The Warrior's Way,Aliens in the Attic,Underworld: Rise of the Lycans,The Chronicles of Narnia: Prince Caspian,10,000 BC,30 Days of Night,Pirates of the Caribbean: Dead Man's Chest,X-Men: The Last Stand,King Kong,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Trolley Boy,The Legend of Baron To'a,X-Men: Dark Phoenix,The Shannara Chronicles,Ghost in the Shell,Mechanic: Resurrection,Crouching Tiger, Hidden Dragon: Sword of Destiny,The Dark Horse,Spartacus,Killer Elite,Legend of the Seeker,Power Rangers R.P.M.,Jinx Sister,10,000 BC,30 Days of Night,Hidden,Final Combat,The Lord of the Rings: The Fellowship of the Ring,Trolley Boy,The New Legends of Monkey,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,X-Men Mondays,The Making of 'Hidden',30 Days of Night: Dark Days"
Ken Stratton,"Pete's Dragon,Avatar,Separation City,The Lost Children,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Hunt for the Wilderpeople,The Insiders Guide to Happiness,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Vindaloo Empire,Dreamer,Facelift,Goblin Market"
Chris Ryan,"REM,Second Hand Wedding,The Lost Children,The Killian Curse,Water,Revelations: The Initial Journey,The Dark Knight,The Lord of the Rings: The Fellowship of the Ring,Stickmen,Jack of All Trades,Xena: Warrior Princess,A Twist in the Tale,Young Hercules,The Legend of William Tell,Duggan,Future Shock,Dead Alive,The Marvelous Land of Oz,Waitress!"
Vincent Roxburgh,"Mulan,The Meg,Rampage,Central Intelligence,The Shannara Chronicles,Ash vs Evil Dead,Mad Max: Fury Road,The Hobbit: The Battle of the Five Armies,The Hobbit: The Desolation of Smaug,The Hobbit: An Unexpected Journey,Spartacus: Gods of the Arena,Yogi Bear,Avalon High,Spartacus,Avatar,The Lovely Bones,Legend of the Seeker,The Water Horse,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,River Queen,50 Ways of Saying Fabulous,Hidden,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Trolley Boy,Mad Max: Fury Road,The Hobbit: The Battle of the Five Armies,Spartacus: Gods of the Arena,The Lord of the Rings: The Fellowship of the Ring,Trolley Boy,The Hobbit: The Battle of the Five Armies,The Making of 'Hidden'"
Chris Reid,"Get Smart,Harold & Kumar Escape from Guantanamo Bay,Iron Man,Pirates of the Caribbean: Dead Man's Chest,American Pie Presents: Band Camp,Massacre Up North,The Lord of the Rings: The Fellowship of the Ring,Dead Last,Scalpers"
Steve Reinsfield,"Cowboy Bebop,Creamerie,Shadow in the Cloud,The Legend of Baron To'a,Adrift,The Shannara Chronicles,The Hobbit: The Battle of the Five Armies,The Hobbit: The Desolation of Smaug,The Hobbit: An Unexpected Journey,Spartacus: Gods of the Arena,Yogi Bear,The Warrior's Way,Tracker,Spartacus,Under the Mountain,Aliens in the Attic,Legend of the Seeker,The Water Horse,30 Days of Night,King Kong,River Queen,50 Ways of Saying Fabulous,Hidden,The Gateway to Hell,The Lord of the Rings: The Return of the King,Riverworld,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Trolley Boy,Tracker,King Kong,The Lord of the Rings: The Fellowship of the Ring,The Making of 'Hidden'"
Larry Rew,"Irongate,Ghostware,I Saw Black Clouds,Get Gone,Last Chancers,Parasitus,Parasitus,7 Days: The story of Blind Dave Heeley,Crucible of the Vampire,The Endless Village,Pandemic,A Cup of Tea,Release,Mis-drop,Bigger and Badder,Underworld: Rise of the Lycans,Revelations: The Initial Journey,Der Liebe entgegen,Bus Stop,The Lord of the Rings: The Fellowship of the Ring,The Dark Knight,A Twist in the Tale,Warhammer: Dark Omen,Warhammer 40, 000: Chaos Gate,The Lost Children,The Winter's Tale"
Thomas Robins,"Written in the Stars,Heaven and Hell - The Centrepoint Story,This Could Go Anywhere,The New Legends of Monkey,The Brokenwood Mysteries,Kiwi,Catching the Black Widow,Road Trip,Girl vs. Boy,The Present,The Banker, the Escorts and the $18 Million,Reservoir Hill,The Gravy,Time Trackers,Aftershock,The Killian Curse,Facelift,Freaky,This Could Go Anywhere,Catching the Black Widow,Girl vs. Boy,The Banker, the Escorts and the $18 Million,The Killian Curse,Freaky,This Could Go Anywhere,Catching the Black Widow,Belief: The Possession of Janet Moses,Road Trip,Girl vs. Boy,The Banker, the Escorts and the $18 Million,Reservoir Hill,The Killian Curse,Freaky,The Hobbit: An Unexpected Journey,The Killian Curse,Seven Periods with Mr Gormsby,King Kong,The Insiders Guide to Happiness,The Lord of the Rings: The Return of the King,Freaky,The Strip,The Lord of the Rings: The Fellowship of the Ring,Forgotten Silver,WNTV,Forgotten Silver,Ring*Con 2004,Behind the Bull: Forgotten Silver"
Paul Shapcott,"The Lord of the Rings,One Lane Bridge,Strike Back,Game of Thrones,The Shannara Chronicles,Exodus: Gods and Kings,The Hobbit: The Battle of the Five Armies,The Z-Nail Gang,The Legend of Hercules,The Hobbit: The Desolation of Smaug,Spartacus,The Hobbit: An Unexpected Journey,Deano and Nige's Best Last Day Ever,Spartacus: Gods of the Arena,Ice,Yogi Bear,Avalon High,This Is Not My Life,Aliens in the Attic,Legend of the Seeker,Push,Underworld: Rise of the Lycans,The Chronicles of Narnia: Prince Caspian,The Water Horse,30 Days of Night,Out of the Blue,Jane Hall,The Da Vinci Code,The Legend of Zorro,Mee-Shee: The Water Giant,Marple,Alexander,The Lord of the Rings: The Return of the King,The Last Samurai,The Locals,The Lord of the Rings: The Two Towers,The Lost World,The Lord of the Rings: The Fellowship of the Ring,Wild Blue,Cleopatra 2525,Jack of All Trades,Forbidden Island,Jackson's Wharf,Young Hercules,Amazon High,A Hero's Climb,Duggan,The Whole of the Moon,City Life,Plainclothes,Mirror, Mirror,Xena: Warrior Princess,Mysterious Island,Hercules: The Legendary Journeys,Rugged Gold,Hercules in the Maze of the Minotaur,Hercules in the Underworld,Hercules: The Legendary Journeys - The Circle of Fire,Hercules: The Legendary Journeys - Hercules and the Lost Kingdom,Hercules and the Amazon Women,Marlin Bay,Shortland Street,Legend of the Seeker,The Lord of the Rings: The Fellowship of the Ring,Game of Thrones: The Last Watch"
Grant Roa,"Lowdown Dirty Criminals,Thumb of Maui,Girl vs. Boy,Captain Amazingly Incredible and the Space Vampires from the Evil Planet!!!,The Secret of the Whales,Separation City,Until Proven Innocent,Kehua,Second Hand Wedding,The Hothouse,The Lost Children,The Killian Curse,Shortland Street,Facelift,Freaky,Whale Rider,The Lord of the Rings: The Fellowship of the Ring,McPhail Gadsby,Avatar 2,Jungle Cruise,Gemini Man,Avengers: Endgame,Mortal Engines,Aquaman,Deadpool 2,Avengers: Infinity War,Rampage,Maze Runner: The Death Cure,War for the Planet of the Apes,Wonder Woman,Spectral,Pete's Dragon,Independence Day: Resurgence,Central Intelligence,The BFG,The Jungle Book,Batman v Superman: Dawn of Justice,Hunt for the Wilderpeople,Deadpool,Alvin and the Chipmunks: The Road Chip,Krampus,The Hunger Games: Mockingjay - Part 2,Maze Runner: The Scorch Trials,Fantastic Four,Furious 7,I,Dawn of the Planet of the Apes,Godzilla,What We Do in the Shadows,The Hungry Games,Golden Moustache,The Hunger Games: Catching Fire,Percy Jackson: Sea of Monsters,Iron Man 3,Mr. Pip,Abraham Lincoln: Vampire Hunter,Rise of the Planet of the Apes,Neon Genesis Evangelion,Gemini Man,Alita: Battle Angel,A Wrinkle in Time,Valerian and the City of a Thousand Planets,Ghost in the Shell,Pete's Dragon,The Hobbit: The Battle of the Five Armies,The Hobbit: The Desolation of Smaug,The Hobbit: An Unexpected Journey,Avatar,Thumb of Maui,Shihad: Beautiful Machine,Long Weekend,Man,Mt. Zion,The Making of 'Whale Rider'"
Christy Qulliam,"Ara,Yogi Bear,Shortland Street,The Lord of the Rings: The Fellowship of the Ring,The Death and Resurrection Show,The Death and Resurrection Show,Dyspraxia, My Hidden Superpower"
Shane Rangi,"Lowdown Dirty Criminals,Zealandia,Flip,Pangazou,Colonial Combat,Die Like A Shark,Mortal Engines,Pacific Rim: Uprising,Love and Time Travel,The Hobbit: The Battle of the Five Armies,The Dark Horse,The Hobbit: An Unexpected Journey,Spartacus: Gods of the Arena,The Chronicles of Narnia: The Voyage of the Dawn Treader,Behind the Scenes of Disney XD's Skyrunners,Skyrunners,The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia: Prince Caspian,O Negative,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,King Kong,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Fellowship of the Ring,Pangazou,Colonial Combat,Mortal Engines,Thor: Ragnarok,Marco Polo,The Hobbit: The Battle of the Five Armies,The Cure,What We Do in the Shadows,The Hobbit: The Desolation of Smaug,The Wolverine,Iron Man 3,Weekend Graffiti,The Hobbit: An Unexpected Journey,Existence,Abraham Lincoln: Vampire Hunter,The Avengers,The Adventures of Tintin,The Adventures of Tintin: The Secret of the Unicorn,The Warrior's Way,Underworld: Rise of the Lycans,The Water Horse,X-Men: The Last Stand,King Kong,River Queen,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Iron Man 3,The Hobbit: An Unexpected Journey,Rise of the Planet of the Apes,Avatar,The Water Horse,I, Robot,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,End of an Empire,Die Like A Shark,Pete's Dragon,There's a Hole in My Bucket,There's a Hole in My Bucket,Belief: The Possession of Janet Moses,The Chronicles of Narnia:: Big Movie Comes to a Small Town,The Chronicles of Narnia: Big Movie Comes to a Small Town,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe: Creating Creatures,Cameras in Middle-Earth,Designing Middle-Earth,Home of the Horse Lords,Inside Narnia: The Adventure Returns"
Blair Morton,"The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring"
