name,movie
Daniel Andrews,"The Lord of the Rings,Avatar 2,Dynasty Warriors,The Sounds,The New Legends of Monkey,The Luminaries,One Lane Bridge,Mulan,Guns Akimbo,Straight Forward,Power Rangers Beast Morphers,Mulan,Ripple Effect,AFK: The Webseries,Mortal Engines,Power Rangers Ninja Steel,Aquaman,Kiwi Christmas,Thor: Ragnarok,Ghost in the Shell,Mechanic: Resurrection,Pete's Dragon,Crouching Tiger, Hidden Dragon: Sword of Destiny,The Patriarch,Hunt for the Wilderpeople,Krampus,Born to Dance,Deathgasm,The Hobbit: The Battle of the Five Armies,The Z-Nail Gang,Field Punishment No1.,Housebound,The Hobbit: The Desolation of Smaug,Spartacus,The Hobbit: An Unexpected Journey,Spartacus: Gods of the Arena,Yogi Bear,The Warrior's Way,Aliens in the Attic,Underworld: Rise of the Lycans,Ozzie,Perfect Creature,King Kong,The Legend of Zorro,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,The Vector File,Superfire,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring"
Betty Adams,"Revelations: The Initial Journey,The Strip,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring"
Rodney Bane,"The Hobbit: The Battle of the Five Armies,Home,The Hobbit: The Desolation of Smaug,Man 2.0,Genesis Antipode,The Killian Curse,The Insiders Guide to Love,Freaky,The Lord of the Rings: The Fellowship of the Ring,The Hobbit: The Desolation of Smaug - The Peoples and Denizens of Middle-earth"
Jarl Benzon,"Mulan,Daniel,Mortal Engines,Asura,Pete's Dragon,Marco Polo,Judgment Tavern,The Hobbit: The Battle of the Five Armies,Mis-drop,The Hobbit: The Desolation of Smaug,The Hobbit: An Unexpected Journey,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,King Kong,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,RingCon 2009,Ring*Con 2004"
Jørn Benzon,"The Lord of the Rings: The Return of the King,The Strip,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,The Dark Knight,Rose,Ring*Con 2004,Filmland"
Matt Appleton,"Ghost in the Shell,Warcraft,Mad Max: Fury Road,Marco Polo,The Hobbit: The Battle of the Five Armies,Elysium,Avatar,Indiana Jones and the Kingdom of the Crystal Skull,The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,King Kong,The Legend of Zorro,Van Helsing,The Lord of the Rings: The Return of the King,The Last Samurai,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Mulan,Roman Empire,The New Legends of Monkey,The Hobbit: The Desolation of Smaug,The Hobbit: An Unexpected Journey,Daybreakers,District 9,What Becomes of the Broken Hearted?,A Twist in the Tale,Revelations: The Initial Journey,The Lord of the Rings: The Fellowship of the Ring,Master and Commander: The Far Side of the World,Black Sheep,Eel Girl"
Timothy Bartlett,"Ghost Shark 2: Urban Jaws,The Hobbit: The Battle of the Five Armies,The Hobbit: An Unexpected Journey,The Last Great Snail Chase,Out of the Blue,The Lord of the Rings: The Fellowship of the Ring,The Shirt,Duggan,The Legend of William Tell,Mirror, Mirror,Soldier Soldier,The Tommyknockers,Shortland Street,An Angel at My Table,One of those Blighters,Tennis Elbow,Gather Your Dreams,Play School"
Brian Sergent,"Slow West,The Hobbit: The Desolation of Smaug,Tuffy,Moon Over Mercedes,Outrageous Fortune,Flight of the Conchords,Eagle vs Shark,The Lost Children,The Insiders Guide to Happiness,The Strip,The Tribe,Oscar & Friends,Revelations: The Initial Journey,Blessed,The Dark Knight,The Lord of the Rings: The Fellowship of the Ring,The Shirt,The Semisis,The Adventures of Swiss Family Robinson,Via Satellite,The Legend of William Tell,Mirror, Mirror,Chicken,Telly Laughs,Skitz,Absent Without Leave,The Ray Bradbury Theater,Married,Dead Alive,Shortland Street,Meet the Feebles,Worzel Gummidge Down Under,Footrot Flats: The Dog's Tale,Carry Me Back,The Lord of the Rings: The Return of the King,From Len Lye to Gollum: New Zealand Animators"
Alan Howard,"Parade's End,The Lord of the Rings: The Return of the King,Foyle's War,Death in Holy Orders,NCS Manhunt,The Lord of the Rings: The Fellowship of the Ring,Midsomer Murders,David Copperfield,Soup,No Bananas,The Poetry Hall of Fame,The Secret Rapture,Anna Lee: Headcase,Witchcraft,Dakota Road,Jute City,Frederick Forsyth Presents,A Little Piece of Sunshine,Antigone/Rites of Passion,Pride and Extreme Prejudice,Just Another Secret,The Cook, the Thief, His Wife & Her Lover,Strapless,The Return of the Musketeers,Poirot,The Dog It Was That Died,Horizon,A Perfect Spy,Unnatural Causes,The Return of Sherlock Holmes,A Better Class of Person,Screen Two,Talk to Me,Oxford Blues,The Tragedy of Coriolanus,Cover,Life Begins at Forty,Royal Flash,Comet Amongst the Stars,The Way of the World,Churchill's People,Notorious Woman,Music on 2,Work Is a Four Letter Word,Sir Arthur Conan Doyle,ITV Play of the Week,The Heroes of Telemark,The Americanization of Emily,The V.I.P.s,Tales of Mystery,The Largest Theatre in the World: Heart to Heart,Maigret,The Password Is Courage,The Bacchae,Philoctetes,Victim,Emergency-Ward 10,Shakespeare Uncovered,Light the Darkness,Evil,An Audience with Mel Brooks,Playing Shakespeare,The South Bank Show,Arena,Anyone for Tennyson? The Master Poets Collection,Seeing and Believing,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers"
Elizabeth Moody,"Huhu Attack!,Offensive Behaviour,The Lord of the Rings: The Fellowship of the Ring,The Adventures of Cumie the Cloud,Heavenly Creatures,Turn of the Blade,Dead Alive,Undercover Gang,Rabbiter's Rest,Klynham Summer,Fuller's Earth,Cinemassacre's Monster Madness,Century of Cinema"
